PlayerID,Name,Height,Birthday
t/thomptr01,Tristan Thompson,81,1991-03-13
n/noahjo01,Joakim Noah,83,1985-02-25
r/rosede01,Derrick Rose,74,1988-10-4
p/plumlma01,Mason Plumlee,83,1990-03-5
g/goberru01,Rudy Gobert,85,1992-06-26
h/hoodro01,Rodney Hood,80,1992-10-20
p/pachuza01,Zaza Pachulia,83,1984-02-10
g/gasolpa01,Pau Gasol,85,1980-07-6
a/aldrila01,LaMarcus Aldridge,83,1985-07-19
d/duranke01,Kevin Durant,82,1988-09-29
g/greendr01,Draymond Green,78,1990-03-4
p/parketo01,Tony Parker,74,1982-05-17
t/turnemy01,Myles Turner,83,1996-03-24
b/bogutan01,Andrew Bogut,84,1984-11-28
w/whiteha01,Hassan Whiteside,84,1989-06-13
v/vucevni01,Nikola Vučević,83,1990-10-24
l/lopezbr01,Brook Lopez,84,1988-04-1
j/johnsam01,Amir Johnson,81,1987-05-1
t/thomais02,Isaiah Thomas,69,1989-02-7
c/crowdja01,Jae Crowder,78,1990-07-6
v/valanjo01,Jonas Valančiūnas,83,1992-05-6
d/drumman01,Andre Drummond,82,1993-08-10
c/caldwke01,Kentavious Caldwell-Pope,77,1993-02-18
n/nurkiju01,Jusuf Nurkić,84,1994-08-23
d/davisan02,Anthony Davis,82,1993-03-11
j/jokicni01,Nikola Jokić,84,1995-02-19
h/hillso01,Solomon Hill,78,1991-03-18
a/asikom01,Ömer Aşık,84,1986-07-4
p/plumlmi01,Miles Plumlee,83,1988-09-1
h/hibbero01,Roy Hibbert,86,1986-12-11
p/parkeja01,Jabari Parker,80,1995-03-15
k/kiddgmi01,Michael Kidd-Gilchrist,78,1993-09-26
t/townska01,Karl-Anthony Towns,83,1995-11-15
g/gasolma01,Marc Gasol,83,1985-01-29
e/ennisja01,James Ennis,78,1990-07-1
w/wiggian01,Andrew Wiggins,79,1995-02-23
e/embiijo01,Joel Embiid,84,1994-03-16
a/adamsst01,Steven Adams,83,1993-07-20
s/saricda01,Dario Šarić,82,1994-04-8
w/westbru01,Russell Westbrook,75,1988-11-12
r/roberan03,Andre Roberson,79,1991-12-4
o/oladivi01,Victor Oladipo,76,1992-05-4
h/hendege02,Gerald Henderson,77,1987-12-9
k/koufoko01,Kosta Koufos,84,1989-02-24
c/chandty01,Tyson Chandler,84,1982-10-2
l/lawsoty01,Ty Lawson,71,1987-11-3
m/mozgoti01,Timofey Mozgov,85,1986-07-16
c/capelca01,Clint Capela,82,1994-05-18
a/anderry01,Ryan Anderson,81,1988-05-6
h/howardw01,Dwight Howard,83,1985-12-8
g/gortama01,Marcin Gortat,83,1984-02-17
m/morrima02,Markieff Morris,80,1989-09-2
w/walljo01,John Wall,76,1990-09-6
b/bealbr01,Bradley Beal,75,1993-06-28
l/lopezro01,Robin Lopez,84,1988-04-1
w/wadedw01,Dwyane Wade,76,1982-01-17
j/jordade01,DeAndre Jordan,83,1988-07-21
a/aminual01,Al-Farouq Aminu,80,1990-09-21
p/paulch01,Chris Paul,73,1985-05-6
a/afflaar01,Arron Afflalo,77,1985-10-15
c/couside01,DeMarcus Cousins,83,1990-08-13
a/anderky01,Kyle Anderson,81,1993-09-20
i/irvinky01,Kyrie Irving,74,1992-03-23
b/booketr01,Trevor Booker,80,1987-11-25
b/bookede01,Devin Booker,77,1996-10-30
w/waitedi01,Dion Waiters,75,1991-12-10
b/batumni01,Nicolas Batum,81,1988-12-14
d/dragigo01,Goran Dragić,75,1986-05-6
g/gordoer01,Eric Gordon,75,1988-12-25
h/hardeja01,James Harden,77,1989-08-26
w/willide01,Deron Williams,75,1984-06-26
t/thompkl01,Klay Thompson,78,1990-02-8
z/zelleco01,Cody Zeller,84,1992-10-5
w/walkeke02,Kemba Walker,72,1990-05-8
