PlayerID,Name,Height,Birthday
h/horfoal01,Al Horford,81,1986-06-3
e/embiijo01,Joel Embiid,84,1994-03-16
c/covinro01,Robert Covington,79,1990-12-14
t/tatumja01,Jayson Tatum,80,1998-03-3
s/saricda01,Dario Šarić,82,1994-04-8
s/simmobe01,Ben Simmons,82,1996-07-20
b/brownja02,Jaylen Brown,78,1996-10-24
j/jonesda03,Damian Jones,83,1995-06-30
a/adamsst01,Steven Adams,83,1993-07-20
t/thompkl01,Klay Thompson,78,1990-02-8
g/georgpa01,Paul George,80,1990-05-2
c/curryst01,Stephen Curry,75,1988-03-14
z/zelleco01,Cody Zeller,84,1992-10-5
l/lopezbr01,Brook Lopez,84,1988-04-1
d/drumman01,Andre Drummond,82,1993-08-10
a/allenja01,Jarrett Allen,83,1998-04-21
k/kennalu01,Luke Kennard,77,1996-06-24
b/brownbr01,Bruce Brown,76,1996-08-15
t/turnemy01,Myles Turner,83,1996-03-24
g/gasolma01,Marc Gasol,83,1985-01-29
y/youngth01,Thaddeus Young,80,1988-06-21
p/parsoch01,Chandler Parsons,81,1988-10-25
b/bogdabo02,Bojan Bogdanović,80,1989-04-18
v/vucevni01,Nikola Vučević,83,1990-10-24
w/whiteha01,Hassan Whiteside,84,1989-06-13
m/mcgruro01,Rodney McGruder,76,1991-07-29
g/gordoaa01,Aaron Gordon,80,1995-09-16
f/fournev01,Evan Fournier,79,1992-10-29
r/richajo01,Josh Richardson,77,1993-09-15
k/kanteen01,Enes Kanter,82,1992-05-20
l/lenal01,Alex Len,84,1993-06-16
b/burketr01,Trey Burke,72,1992-11-12
c/cartevi01,Vince Carter,78,1977-01-26
b/bazemke01,Kent Bazemore,76,1989-07-1
h/hardati02,Tim Hardaway Jr.,77,1992-03-16
p/princta02,Taurean Prince,79,1994-03-22
v/valanjo01,Jonas Valančiūnas,83,1992-05-6
t/thomptr01,Tristan Thompson,81,1991-03-13
l/loveke01,Kevin Love,80,1988-09-7
l/leonaka01,Kawhi Leonard,79,1991-06-29
s/siakapa01,Pascal Siakam,81,1994-04-2
c/capelca01,Clint Capela,82,1994-05-18
d/davisan02,Anthony Davis,82,1993-03-11
m/mirotni01,Nikola Mirotić,82,1991-02-11
p/poeltja01,Jakob Pöltl,85,1995-10-15
t/townska01,Karl-Anthony Towns,83,1995-11-15
w/wiggian01,Andrew Wiggins,79,1995-02-23
a/aldrila01,LaMarcus Aldridge,83,1985-07-19
d/derozde01,DeMar DeRozan,78,1989-08-7
g/gayru01,Rudy Gay,80,1986-08-17
c/caulewi01,Willie Cauley-Stein,84,1993-08-18
g/goberru01,Rudy Gobert,85,1992-06-26
m/mitchdo01,Donovan Mitchell,73,1996-09-7
h/hieldbu01,Buddy Hield,76,1992-12-17
g/gortama01,Marcin Gortat,83,1984-02-17
j/jokicni01,Nikola Jokić,84,1995-02-19
g/gallida01,Danilo Gallinari,82,1988-08-8
m/murraja01,Jamal Murray,76,1997-02-23
h/harriga01,Gary Harris,76,1994-09-14
b/bartowi01,Will Barton,77,1991-01-6
m/millspa01,Paul Millsap,79,1985-02-10
h/harrito02,Tobias Harris,80,1992-07-15
a/aytonde01,Deandre Ayton,83,1998-07-23
j/jordade01,DeAndre Jordan,83,1988-07-21
m/matthwe02,Wesley Matthews,76,1986-10-14
b/bookede01,Devin Booker,77,1996-10-30
d/doncilu01,Luka Dončić,79,1999-02-28
c/cartewe01,Wendell Carter Jr.,81,1999-04-16
l/lavinza01,Zach LaVine,78,1995-03-10
m/mahinia01,Ian Mahinmi,83,1986-11-5
w/walljo01,John Wall,76,1990-09-6
n/nurkiju01,Jusuf Nurkić,84,1994-08-23
m/mcgeeja01,JaVale McGee,84,1988-01-19
a/aminual01,Al-Farouq Aminu,80,1990-09-21
l/lillada01,Damian Lillard,74,1990-07-15
i/ingrabr01,Brandon Ingram,79,1997-09-2
l/laymaja01,Jake Layman,80,1994-03-7
r/rondora01,Rajon Rondo,73,1986-02-22
i/isaacjo01,Jonathan Isaac,83,1997-10-3
i/ibakase01,Serge Ibaka,84,1989-09-18
h/haywago01,Gordon Hayward,79,1990-03-23
i/irvinky01,Kyrie Irving,74,1992-03-23
s/schrode01,Dennis Schröder,73,1993-09-15
b/beverpa01,Patrick Beverley,73,1988-07-12
f/favorde01,Derrick Favors,81,1991-07-15
l/leverca01,Caris LeVert,78,1994-08-25
g/greenda02,Danny Green,78,1987-06-22
p/porteot01,Otto Porter,80,1993-06-3
a/anunoog01,OG Anunoby,79,1997-07-17
n/ntilila01,Frank Ntilikina,76,1998-07-28
b/baynear01,Aron Baynes,82,1986-12-9
g/griffbl01,Blake Griffin,81,1989-03-16
f/finnedo01,Dorian Finney-Smith,79,1993-05-4
a/arizatr01,Trevor Ariza,80,1985-06-30
a/anderry01,Ryan Anderson,81,1988-05-6
c/caldwke01,Kentavious Caldwell-Pope,77,1993-02-18
p/paulch01,Chris Paul,73,1985-05-6
w/westbru01,Russell Westbrook,75,1988-11-12
g/greendr01,Draymond Green,78,1990-03-4
a/augusdj01,D.J. Augustin,71,1987-11-10
l/lowryky01,Kyle Lowry,72,1986-03-25
m/middlkh01,Khris Middleton,79,1991-08-12
g/gibsota01,Taj Gibson,81,1985-06-24
b/balllo01,Lonzo Ball,78,1997-10-27
b/bullore01,Reggie Bullock,78,1991-03-16
j/johnsst04,Stanley Johnson,78,1996-05-29
f/fultzma01,Markelle Fultz,75,1998-05-29
b/bradlav01,Avery Bradley,74,1990-11-26
m/mooreet01,E'Twaun Moore,75,1989-02-25
h/holidjr01,Jrue Holiday,75,1990-06-12
p/paytoel01,Elfrid Payton,75,1994-02-22
s/shumpim01,Iman Shumpert,77,1990-06-26
s/smithde03,Dennis Smith Jr.,74,1997-11-25
y/youngtr01,Trae Young,73,1998-09-19
o/osmande01,Cedi Osman,79,1995-04-8
t/thomala01,Lance Thomas,80,1988-04-24
d/dragigo01,Goran Dragić,75,1986-05-6
o/okogijo01,Josh Okogie,76,1998-09-1
b/batumni01,Nicolas Batum,81,1988-12-14
c/cartemi01,Michael Carter-Williams,77,1991-10-10
f/foxde01,De'Aaron Fox,75,1997-12-20
