PlayerID,Name,Height,Birthday
h/horfoal01,Al Horford,81,1986-06-3
l/loveke01,Kevin Love,80,1988-09-7
i/irvinky01,Kyrie Irving,74,1992-03-23
c/capelca01,Clint Capela,82,1994-05-18
p/pachuza01,Zaza Pachulia,83,1984-02-10
h/hardeja01,James Harden,77,1989-08-26
h/howardw01,Dwight Howard,83,1985-12-8
d/drumman01,Andre Drummond,82,1993-08-10
w/walkeke02,Kemba Walker,72,1990-05-8
h/harrito02,Tobias Harris,80,1992-07-15
b/bradlav01,Avery Bradley,74,1990-11-26
m/mozgoti01,Timofey Mozgov,85,1986-07-16
t/turnemy01,Myles Turner,83,1996-03-24
c/collida01,Darren Collison,72,1987-08-23
w/whiteha01,Hassan Whiteside,84,1989-06-13
v/vucevni01,Nikola Vučević,83,1990-10-24
o/olynyke01,Kelly Olynyk,83,1991-04-19
r/rosste01,Terrence Ross,78,1991-02-5
d/dragigo01,Goran Dragić,75,1986-05-6
e/embiijo01,Joel Embiid,84,1994-03-16
g/gortama01,Marcin Gortat,83,1984-02-17
b/bealbr01,Bradley Beal,75,1993-06-28
s/simmobe01,Ben Simmons,82,1996-07-20
r/redicjj01,J.J. Redick,75,1984-06-24
p/porteot01,Otto Porter,80,1993-06-3
m/makerth01,Thon Maker,84,1997-02-25
s/smartma01,Marcus Smart,75,1994-03-6
a/antetgi01,Giannis Antetokounmpo,83,1994-12-6
b/brownja02,Jaylen Brown,78,1996-10-24
m/middlkh01,Khris Middleton,79,1991-08-12
d/davisan02,Anthony Davis,82,1993-03-11
g/gasolma01,Marc Gasol,83,1985-01-29
e/ennisja01,James Ennis,78,1990-07-1
d/dedmode01,Dewayne Dedmon,84,1989-08-12
b/barneha02,Harrison Barnes,80,1992-05-30
s/schrode01,Dennis Schröder,73,1993-09-15
m/millspa01,Paul Millsap,79,1985-02-10
g/goberru01,Rudy Gobert,85,1992-06-26
f/favorde01,Derrick Favors,81,1991-07-15
t/townska01,Karl-Anthony Towns,83,1995-11-15
g/gasolpa01,Pau Gasol,85,1980-07-6
g/gibsota01,Taj Gibson,81,1985-06-24
m/murrade01,Dejounte Murray,76,1996-09-19
n/nurkiju01,Jusuf Nurkić,84,1994-08-23
c/chandty01,Tyson Chandler,84,1982-10-2
h/harklma01,Maurice Harkless,79,1993-05-11
b/bledser01,Eric Bledsoe,73,1989-12-9
b/bookede01,Devin Booker,77,1996-10-30
j/jacksjo02,Josh Jackson,80,1997-02-10
c/caulewi01,Willie Cauley-Stein,84,1993-08-18
a/anderry01,Ryan Anderson,81,1988-05-6
j/jacksju01,Justin Jackson,79,1995-03-28
g/gordoer01,Eric Gordon,75,1988-12-25
l/labissk01,Skal Labissière,82,1996-03-18
l/lopezro01,Robin Lopez,84,1988-04-1
v/valanjo01,Jonas Valančiūnas,83,1992-05-6
d/derozde01,DeMar DeRozan,78,1989-08-7
p/porzikr01,Kristaps Porziņģis,87,1995-08-2
a/adamsst01,Steven Adams,83,1993-07-20
a/anthoca01,Carmelo Anthony,80,1984-05-29
h/hardati02,Tim Hardaway Jr.,77,1992-03-16
g/georgpa01,Paul George,80,1990-05-2
w/westbru01,Russell Westbrook,75,1988-11-12
j/jordade01,DeAndre Jordan,83,1988-07-21
l/lopezbr01,Brook Lopez,84,1988-04-1
g/gallida01,Danilo Gallinari,82,1988-08-8
i/ingrabr01,Brandon Ingram,79,1997-09-2
n/nancela02,Larry Nance Jr.,79,1993-01-1
g/griffbl01,Blake Griffin,81,1989-03-16
b/beverpa01,Patrick Beverley,73,1988-07-12
b/balllo01,Lonzo Ball,78,1997-10-27
l/lambje01,Jeremy Lamb,77,1992-05-30
s/sabondo01,Domantas Sabonis,83,1996-05-3
o/oladivi01,Victor Oladipo,76,1992-05-4
l/lillada01,Damian Lillard,74,1990-07-15
j/jamesle01,LeBron James,80,1984-12-30
c/covinro01,Robert Covington,79,1990-12-14
b/baynear01,Aron Baynes,82,1986-12-9
j/jacksre01,Reggie Jackson,75,1990-04-16
o/oubreke01,Kelly Oubre Jr.,79,1995-12-9
r/russeda01,D'Angelo Russell,76,1996-02-23
f/fournev01,Evan Fournier,79,1992-10-29
r/rubiori01,Ricky Rubio,75,1990-10-21
b/butleji01,Jimmy Butler,79,1989-09-14
w/wiggian01,Andrew Wiggins,79,1995-02-23
n/noelne01,Nerlens Noel,82,1994-04-10
r/randoza01,Zach Randolph,81,1981-07-16
d/duranke01,Kevin Durant,82,1988-09-29
h/holidjr01,Jrue Holiday,75,1990-06-12
m/mooreet01,E'Twaun Moore,75,1989-02-25
t/thompkl01,Klay Thompson,78,1990-02-8
j/johnsam01,Amir Johnson,81,1987-05-1
h/harrian01,Andrew Harrison,78,1994-10-28
m/mickejo01,Jordan Mickey,80,1994-07-9
c/chandwi01,Wilson Chandler,80,1987-05-10
h/harriga01,Gary Harris,76,1994-09-14
m/murraja01,Jamal Murray,76,1997-02-23
r/roberan03,Andre Roberson,79,1991-12-4
b/bazemke01,Kent Bazemore,76,1989-07-1
