season,game_date,game_away_team,game_home_team,game_url,visiting_center,home_center,winning_tip,Visiting Team Event,Visiting Team Player,Home Team Event,Home Team Player,Score,Possession,Point Attempt,Shot Distance,Offensive Rebound,Defensive Rebound,Turnover
2016,"Tue, Oct 27, 2015",Detroit Pistons,Atlanta Hawks,/boxscores/201510270ATL.html,d/drumman01,h/horfoal01,away_center,A. Drummond misses 2-pt layup from 1 ft (block by A. Horford),d/drumman01,,,0-0,Detroit Pistons,2,1,0,0,0
2016,"Tue, Oct 27, 2015",Detroit Pistons,Atlanta Hawks,/boxscores/201510270ATL.html,d/drumman01,h/horfoal01,away_center,,,Defensive rebound by K. Bazemore,b/bazemke01,0-0,Atlanta Hawks,,,0,1,0
2016,"Tue, Oct 27, 2015",Detroit Pistons,Atlanta Hawks,/boxscores/201510270ATL.html,d/drumman01,h/horfoal01,away_center,,,Turnover by K. Bazemore (bad pass),b/bazemke01,0-0,Atlanta Hawks,,,0,0,1
2016,"Tue, Oct 27, 2015",Detroit Pistons,Atlanta Hawks,/boxscores/201510270ATL.html,d/drumman01,h/horfoal01,away_center,M. Morris makes 2-pt jump shot from 13 ft (assist by A. Drummond),m/morrima03,,,2-0,Detroit Pistons,2,13,0,0,0
2016,"Tue, Oct 27, 2015",Cleveland Cavaliers,Chicago Bulls,/boxscores/201510270CHI.html,g/gasolpa01,m/mozgoti01,home_center,,,N. Mirotić misses 2-pt layup from 2 ft,m/mirotni01,0-0,Chicago Bulls,2,2,0,0,0
2016,"Tue, Oct 27, 2015",Cleveland Cavaliers,Chicago Bulls,/boxscores/201510270CHI.html,g/gasolpa01,m/mozgoti01,home_center,Defensive rebound by K. Love,l/loveke01,,,0-0,Cleveland Cavaliers,,,0,1,0
2016,"Tue, Oct 27, 2015",Cleveland Cavaliers,Chicago Bulls,/boxscores/201510270CHI.html,g/gasolpa01,m/mozgoti01,home_center,K. Love makes 2-pt dunk at rim (assist by L. James),l/loveke01,,,2-0,Cleveland Cavaliers,2,,0,0,0
2016,"Tue, Oct 27, 2015",New Orleans Pelicans,Golden State Warriors,/boxscores/201510270GSW.html,b/bogutan01,d/davisan02,away_center,A. Davis misses 3-pt jump shot from 23 ft,d/davisan02,,,0-0,New Orleans Pelicans,3,23,0,0,0
2016,"Tue, Oct 27, 2015",New Orleans Pelicans,Golden State Warriors,/boxscores/201510270GSW.html,b/bogutan01,d/davisan02,away_center,,,Defensive rebound by A. Bogut,b/bogutan01,0-0,Golden State Warriors,,,0,1,0
2016,"Tue, Oct 27, 2015",New Orleans Pelicans,Golden State Warriors,/boxscores/201510270GSW.html,b/bogutan01,d/davisan02,away_center,,,D. Green makes 3-pt jump shot from 26 ft (assist by K. Thompson),g/greendr01,0-3,Golden State Warriors,3,26,0,0,0
2016,"Wed, Oct 28, 2015",Washington Wizards,Orlando Magic,/boxscores/201510280ORL.html,g/gortama01,v/vucevni01,away_center,Turnover by B. Beal (bad pass),b/bealbr01,,,0-0,Washington Wizards,,,0,0,1
2016,"Wed, Oct 28, 2015",Washington Wizards,Orlando Magic,/boxscores/201510280ORL.html,g/gortama01,v/vucevni01,away_center,,,N. Vučević misses 2-pt jump shot from 15 ft,v/vucevni01,0-0,Orlando Magic,2,15,0,0,0
2016,"Wed, Oct 28, 2015",Washington Wizards,Orlando Magic,/boxscores/201510280ORL.html,g/gortama01,v/vucevni01,away_center,Defensive rebound by J. Wall,w/walljo01,,,0-0,Washington Wizards,,,0,1,0
2016,"Wed, Oct 28, 2015",Washington Wizards,Orlando Magic,/boxscores/201510280ORL.html,g/gortama01,v/vucevni01,away_center,Turnover by B. Beal (kicked ball),b/bealbr01,,,0-0,Washington Wizards,,,0,0,1
2016,"Wed, Oct 28, 2015",Washington Wizards,Orlando Magic,/boxscores/201510280ORL.html,g/gortama01,v/vucevni01,away_center,,,T. Harris makes 2-pt jump shot from 19 ft (assist by E. Fournier),h/harrito02,0-2,Orlando Magic,2,19,0,0,0
2016,"Wed, Oct 28, 2015",Indiana Pacers,Toronto Raptors,/boxscores/201510280TOR.html,m/mahinia01,v/valanjo01,home_center,,,J. Valančiūnas makes 2-pt jump shot from 13 ft (assist by D. DeRozan),v/valanjo01,0-2,Toronto Raptors,2,13,0,0,0
2016,"Wed, Oct 28, 2015",Charlotte Hornets,Miami Heat,/boxscores/201510280MIA.html,j/jeffeal01,w/whiteha01,home_center,,,C. Bosh makes 2-pt layup from 1 ft (assist by L. Deng),b/boshch01,0-2,Miami Heat,2,1,0,0,0
2016,"Wed, Oct 28, 2015",Chicago Bulls,Brooklyn Nets,/boxscores/201510280BRK.html,g/gasolpa01,l/lopezbr01,home_center,,,Turnover by T. Young (traveling),y/youngth01,0-0,Brooklyn Nets,,,0,0,1
2016,"Wed, Oct 28, 2015",Chicago Bulls,Brooklyn Nets,/boxscores/201510280BRK.html,g/gasolpa01,l/lopezbr01,home_center,T. Snell misses 2-pt jump shot from 9 ft (block by B. Lopez),s/snellto01,,,0-0,Chicago Bulls,2,9,0,0,0
2016,"Wed, Oct 28, 2015",Chicago Bulls,Brooklyn Nets,/boxscores/201510280BRK.html,g/gasolpa01,l/lopezbr01,home_center,,,Defensive rebound by J. Johnson,j/johnsjo02,0-0,Brooklyn Nets,,,0,1,0
2016,"Wed, Oct 28, 2015",Chicago Bulls,Brooklyn Nets,/boxscores/201510280BRK.html,g/gasolpa01,l/lopezbr01,home_center,,,S. Larkin misses 2-pt jump shot from 23 ft,l/larkish01,0-0,Brooklyn Nets,2,23,0,0,0
2016,"Wed, Oct 28, 2015",Chicago Bulls,Brooklyn Nets,/boxscores/201510280BRK.html,g/gasolpa01,l/lopezbr01,home_center,Defensive rebound by D. Rose,r/rosede01,,,0-0,Chicago Bulls,,,0,1,0
2016,"Wed, Oct 28, 2015",Chicago Bulls,Brooklyn Nets,/boxscores/201510280BRK.html,g/gasolpa01,l/lopezbr01,home_center,N. Mirotić makes 2-pt jump shot from 19 ft (assist by D. Rose),m/mirotni01,,,2-0,Chicago Bulls,2,19,0,0,0
2016,"Wed, Oct 28, 2015",Philadelphia 76ers,Boston Celtics,/boxscores/201510280BOS.html,n/noelne01,z/zellety01,home_center,,,Shooting foul by H. Thompson (drawn by J. Crowder),t/thompho01,0-0,Boston Celtics,,,0,0,0
2016,"Wed, Oct 28, 2015",Philadelphia 76ers,Boston Celtics,/boxscores/201510280BOS.html,n/noelne01,z/zellety01,home_center,,,J. Crowder makes free throw 1 of 2,c/crowdja01,0-1,Boston Celtics,,,0,0,0
2016,"Wed, Oct 28, 2015",Utah Jazz,Detroit Pistons,/boxscores/201510280DET.html,d/drumman01,g/goberru01,away_center,G. Hayward makes 2-pt hook shot from 4 ft,h/haywago01,,,2-0,Utah Jazz,2,4,0,0,0
2016,"Wed, Oct 28, 2015",Denver Nuggets,Houston Rockets,/boxscores/201510280HOU.html,c/capelca01,l/lauvejo01,home_center,,,C. Capela misses 2-pt layup from 3 ft (block by K. Faried),c/capelca01,0-0,Houston Rockets,2,3,0,0,0
2016,"Wed, Oct 28, 2015",Denver Nuggets,Houston Rockets,/boxscores/201510280HOU.html,c/capelca01,l/lauvejo01,home_center,,,Offensive rebound by Team,,0-0,Houston Rockets,,,1,0,0
2016,"Wed, Oct 28, 2015",Denver Nuggets,Houston Rockets,/boxscores/201510280HOU.html,c/capelca01,l/lauvejo01,home_center,,,T. Ariza misses 2-pt jump shot from 14 ft,a/arizatr01,0-0,Houston Rockets,2,14,0,0,0
2016,"Wed, Oct 28, 2015",Denver Nuggets,Houston Rockets,/boxscores/201510280HOU.html,c/capelca01,l/lauvejo01,home_center,Defensive rebound by K. Faried,f/farieke01,,,0-0,Denver Nuggets,,,0,1,0
2016,"Wed, Oct 28, 2015",Denver Nuggets,Houston Rockets,/boxscores/201510280HOU.html,c/capelca01,l/lauvejo01,home_center,D. Gallinari misses 2-pt jump shot from 21 ft,g/gallida01,,,0-0,Denver Nuggets,2,21,0,0,0
2016,"Wed, Oct 28, 2015",Denver Nuggets,Houston Rockets,/boxscores/201510280HOU.html,c/capelca01,l/lauvejo01,home_center,Offensive rebound by Team,,,,0-0,Denver Nuggets,,,1,0,0
2016,"Wed, Oct 28, 2015",Denver Nuggets,Houston Rockets,/boxscores/201510280HOU.html,c/capelca01,l/lauvejo01,home_center,G. Harris makes 2-pt dunk at rim (assist by E. Mudiay),h/harriga01,,,2-0,Denver Nuggets,2,,0,0,0
2016,"Wed, Oct 28, 2015",San Antonio Spurs,Oklahoma City Thunder,/boxscores/201510280OKC.html,a/adamsst01,d/duncati01,home_center,,,Violation by Team (jump ball),,0-0,Oklahoma City Thunder,,,0,0,0
2016,"Wed, Oct 28, 2015",San Antonio Spurs,Oklahoma City Thunder,/boxscores/201510280OKC.html,a/adamsst01,d/duncati01,home_center,,,A. Roberson makes 2-pt layup at rim,r/roberan03,0-2,Oklahoma City Thunder,2,,0,0,0
2016,"Wed, Oct 28, 2015",New York Knicks,Milwaukee Bucks,/boxscores/201510280MIL.html,l/lopezro01,m/monrogr01,away_center,R. Lopez makes 2-pt dunk at rim (assist by C. Anthony),l/lopezro01,,,2-0,New York Knicks,2,,0,0,0
2016,"Wed, Oct 28, 2015",Cleveland Cavaliers,Memphis Grizzlies,/boxscores/201510280MEM.html,g/gasolma01,m/mozgoti01,home_center,,,M. Conley misses 2-pt jump shot from 20 ft,c/conlemi01,0-0,Memphis Grizzlies,2,20,0,0,0
2016,"Wed, Oct 28, 2015",Cleveland Cavaliers,Memphis Grizzlies,/boxscores/201510280MEM.html,g/gasolma01,m/mozgoti01,home_center,Defensive rebound by K. Love,l/loveke01,,,0-0,Cleveland Cavaliers,,,0,1,0
2016,"Wed, Oct 28, 2015",Cleveland Cavaliers,Memphis Grizzlies,/boxscores/201510280MEM.html,g/gasolma01,m/mozgoti01,home_center,J. Smith misses 2-pt jump shot from 21 ft,s/smithjr01,,,0-0,Cleveland Cavaliers,2,21,0,0,0
2016,"Wed, Oct 28, 2015",Cleveland Cavaliers,Memphis Grizzlies,/boxscores/201510280MEM.html,g/gasolma01,m/mozgoti01,home_center,,,Defensive rebound by Z. Randolph,r/randoza01,0-0,Memphis Grizzlies,,,0,1,0
2016,"Wed, Oct 28, 2015",Cleveland Cavaliers,Memphis Grizzlies,/boxscores/201510280MEM.html,g/gasolma01,m/mozgoti01,home_center,,,M. Gasol misses 2-pt jump shot from 4 ft,g/gasolma01,0-0,Memphis Grizzlies,2,4,0,0,0
2016,"Wed, Oct 28, 2015",Cleveland Cavaliers,Memphis Grizzlies,/boxscores/201510280MEM.html,g/gasolma01,m/mozgoti01,home_center,Defensive rebound by K. Love,l/loveke01,,,0-0,Cleveland Cavaliers,,,0,1,0
2016,"Wed, Oct 28, 2015",Cleveland Cavaliers,Memphis Grizzlies,/boxscores/201510280MEM.html,g/gasolma01,m/mozgoti01,home_center,Turnover by M. Williams (bad pass; steal by C. Lee),w/willima01,,,0-0,Cleveland Cavaliers,,,0,0,1
2016,"Wed, Oct 28, 2015",Cleveland Cavaliers,Memphis Grizzlies,/boxscores/201510280MEM.html,g/gasolma01,m/mozgoti01,home_center,,,Shooting foul by J. Smith (drawn by C. Lee),s/smithjr01,0-0,Memphis Grizzlies,,,0,0,0
2016,"Wed, Oct 28, 2015",Cleveland Cavaliers,Memphis Grizzlies,/boxscores/201510280MEM.html,g/gasolma01,m/mozgoti01,home_center,,,C. Lee makes free throw 1 of 2,l/leeco01,0-1,Memphis Grizzlies,,,0,0,0
2016,"Wed, Oct 28, 2015",Dallas Mavericks,Phoenix Suns,/boxscores/201510280PHO.html,c/chandty01,p/pachuza01,away_center,D. Nowitzki misses 2-pt jump shot from 20 ft,n/nowitdi01,,,0-0,Dallas Mavericks,2,20,0,0,0
2016,"Wed, Oct 28, 2015",Dallas Mavericks,Phoenix Suns,/boxscores/201510280PHO.html,c/chandty01,p/pachuza01,away_center,,,Defensive rebound by E. Bledsoe,b/bledser01,0-0,Phoenix Suns,,,0,1,0
2016,"Wed, Oct 28, 2015",Dallas Mavericks,Phoenix Suns,/boxscores/201510280PHO.html,c/chandty01,p/pachuza01,away_center,,,B. Knight misses 3-pt jump shot from 24 ft,k/knighbr03,0-0,Phoenix Suns,3,24,0,0,0
2016,"Wed, Oct 28, 2015",Dallas Mavericks,Phoenix Suns,/boxscores/201510280PHO.html,c/chandty01,p/pachuza01,away_center,Defensive rebound by W. Matthews,m/matthwe02,,,0-0,Dallas Mavericks,,,0,1,0
2016,"Wed, Oct 28, 2015",Dallas Mavericks,Phoenix Suns,/boxscores/201510280PHO.html,c/chandty01,p/pachuza01,away_center,D. Williams makes 2-pt jump shot from 3 ft,w/willide01,,,2-0,Dallas Mavericks,2,3,0,0,0
2016,"Wed, Oct 28, 2015",New Orleans Pelicans,Portland Trail Blazers,/boxscores/201510280POR.html,d/davisan02,p/plumlma01,home_center,,,A. Aminu makes 3-pt jump shot from 25 ft (assist by M. Plumlee),a/aminual01,0-3,Portland Trail Blazers,3,25,0,0,0
2016,"Wed, Oct 28, 2015",Los Angeles Clippers,Sacramento Kings,/boxscores/201510280SAC.html,j/jordade01,k/koufoko01,away_center,L. Stephenson makes 3-pt jump shot from 25 ft (assist by C. Paul),s/stephla01,,,3-0,Los Angeles Clippers,3,25,0,0,0
2016,"Wed, Oct 28, 2015",Minnesota Timberwolves,Los Angeles Lakers,/boxscores/201510280LAL.html,h/hibbero01,t/townska01,away_center,R. Rubio makes 3-pt jump shot from 23 ft (assist by T. Prince),r/rubiori01,,,3-0,Minnesota Timberwolves,3,23,0,0,0
2016,"Thu, Oct 29, 2015",Memphis Grizzlies,Indiana Pacers,/boxscores/201510290IND.html,g/gasolma01,m/mahinia01,away_center,Z. Randolph misses 2-pt jump shot from 18 ft,r/randoza01,,,0-0,Memphis Grizzlies,2,18,0,0,0
2016,"Thu, Oct 29, 2015",Memphis Grizzlies,Indiana Pacers,/boxscores/201510290IND.html,g/gasolma01,m/mahinia01,away_center,Offensive rebound by T. Allen,a/allento01,,,0-0,Memphis Grizzlies,,,1,0,0
2016,"Thu, Oct 29, 2015",Memphis Grizzlies,Indiana Pacers,/boxscores/201510290IND.html,g/gasolma01,m/mahinia01,away_center,Personal foul by P. George (drawn by T. Allen),g/georgpa01,,,0-0,Memphis Grizzlies,,,0,0,0
2016,"Thu, Oct 29, 2015",Memphis Grizzlies,Indiana Pacers,/boxscores/201510290IND.html,g/gasolma01,m/mahinia01,away_center,C. Lee makes 2-pt jump shot from 20 ft (assist by M. Conley),l/leeco01,,,2-0,Memphis Grizzlies,2,20,0,0,0
2016,"Thu, Oct 29, 2015",Atlanta Hawks,New York Knicks,/boxscores/201510290NYK.html,h/horfoal01,l/lopezro01,away_center,P. Millsap misses 2-pt jump shot from 9 ft,m/millspa01,,,0-0,Atlanta Hawks,2,9,0,0,0
2016,"Thu, Oct 29, 2015",Atlanta Hawks,New York Knicks,/boxscores/201510290NYK.html,h/horfoal01,l/lopezro01,away_center,,,Defensive rebound by C. Anthony,a/anthoca01,0-0,New York Knicks,,,0,1,0
2016,"Thu, Oct 29, 2015",Atlanta Hawks,New York Knicks,/boxscores/201510290NYK.html,h/horfoal01,l/lopezro01,away_center,,,K. Porziņģis misses 2-pt jump shot from 4 ft (block by A. Horford),p/porzikr01,0-0,New York Knicks,2,4,0,0,0
2016,"Thu, Oct 29, 2015",Atlanta Hawks,New York Knicks,/boxscores/201510290NYK.html,h/horfoal01,l/lopezro01,away_center,Defensive rebound by P. Millsap,m/millspa01,,,0-0,Atlanta Hawks,,,0,1,0
2016,"Thu, Oct 29, 2015",Atlanta Hawks,New York Knicks,/boxscores/201510290NYK.html,h/horfoal01,l/lopezro01,away_center,K. Bazemore makes 2-pt layup from 2 ft (assist by J. Teague),b/bazemke01,,,2-0,Atlanta Hawks,2,2,0,0,0
2016,"Thu, Oct 29, 2015",Dallas Mavericks,Los Angeles Clippers,/boxscores/201510290LAC.html,j/jordade01,p/pachuza01,home_center,,,J. Redick makes 2-pt jump shot from 21 ft (assist by L. Stephenson),r/redicjj01,0-2,Los Angeles Clippers,2,21,0,0,0
2016,"Fri, Oct 30, 2015",Utah Jazz,Philadelphia 76ers,/boxscores/201510300PHI.html,g/goberru01,n/noelne01,away_center,Personal foul by I. Canaan (drawn by R. Neto),c/canaais01,,,0-0,Utah Jazz,,,0,0,0
2016,"Fri, Oct 30, 2015",Utah Jazz,Philadelphia 76ers,/boxscores/201510300PHI.html,g/goberru01,n/noelne01,away_center,R. Neto misses 2-pt jump shot from 3 ft (block by N. Noel),n/netora01,,,0-0,Utah Jazz,2,3,0,0,0
2016,"Fri, Oct 30, 2015",Utah Jazz,Philadelphia 76ers,/boxscores/201510300PHI.html,g/goberru01,n/noelne01,away_center,Offensive rebound by Team,,,,0-0,Utah Jazz,,,1,0,0
2016,"Fri, Oct 30, 2015",Utah Jazz,Philadelphia 76ers,/boxscores/201510300PHI.html,g/goberru01,n/noelne01,away_center,Turnover by Team (shot clock),,,,0-0,Utah Jazz,,,0,0,1
2016,"Fri, Oct 30, 2015",Utah Jazz,Philadelphia 76ers,/boxscores/201510300PHI.html,g/goberru01,n/noelne01,away_center,,,Turnover by I. Canaan (bad pass; steal by D. Favors),c/canaais01,0-0,Philadelphia 76ers,,,0,0,1
2016,"Fri, Oct 30, 2015",Utah Jazz,Philadelphia 76ers,/boxscores/201510300PHI.html,g/goberru01,n/noelne01,away_center,Personal foul by J. Sampson (drawn by R. Hood),s/sampsja02,,,0-0,Utah Jazz,,,0,0,0
2016,"Fri, Oct 30, 2015",Utah Jazz,Philadelphia 76ers,/boxscores/201510300PHI.html,g/goberru01,n/noelne01,away_center,R. Hood makes free throw 1 of 2,h/hoodro01,,,1-0,Utah Jazz,,,0,0,0
2016,"Fri, Oct 30, 2015",Oklahoma City Thunder,Orlando Magic,/boxscores/201510300ORL.html,a/adamsst01,v/vucevni01,away_center,S. Ibaka makes 2-pt jump shot from 13 ft (assist by R. Westbrook),i/ibakase01,,,2-0,Oklahoma City Thunder,2,13,0,0,0
2016,"Fri, Oct 30, 2015",Chicago Bulls,Detroit Pistons,/boxscores/201510300DET.html,d/drumman01,g/gasolpa01,home_center,,,M. Morris misses 2-pt jump shot from 13 ft,m/morrima03,0-0,Detroit Pistons,2,13,0,0,0
2016,"Fri, Oct 30, 2015",Chicago Bulls,Detroit Pistons,/boxscores/201510300DET.html,d/drumman01,g/gasolpa01,home_center,Defensive rebound by P. Gasol,g/gasolpa01,,,0-0,Chicago Bulls,,,0,1,0
2016,"Fri, Oct 30, 2015",Chicago Bulls,Detroit Pistons,/boxscores/201510300DET.html,d/drumman01,g/gasolpa01,home_center,P. Gasol makes 2-pt jump shot from 17 ft,g/gasolpa01,,,2-0,Chicago Bulls,2,17,0,0,0
2016,"Fri, Oct 30, 2015",Toronto Raptors,Boston Celtics,/boxscores/201510300BOS.html,v/valanjo01,z/zellety01,home_center,,,T. Zeller misses 2-pt jump shot from 19 ft,z/zellety01,0-0,Boston Celtics,2,19,0,0,0
2016,"Fri, Oct 30, 2015",Toronto Raptors,Boston Celtics,/boxscores/201510300BOS.html,v/valanjo01,z/zellety01,home_center,Defensive rebound by K. Lowry,l/lowryky01,,,0-0,Toronto Raptors,,,0,1,0
2016,"Fri, Oct 30, 2015",Toronto Raptors,Boston Celtics,/boxscores/201510300BOS.html,v/valanjo01,z/zellety01,home_center,D. DeRozan misses 2-pt jump shot from 19 ft,d/derozde01,,,0-0,Toronto Raptors,2,19,0,0,0
2016,"Fri, Oct 30, 2015",Toronto Raptors,Boston Celtics,/boxscores/201510300BOS.html,v/valanjo01,z/zellety01,home_center,,,Defensive rebound by A. Bradley,b/bradlav01,0-0,Boston Celtics,,,0,1,0
2016,"Fri, Oct 30, 2015",Toronto Raptors,Boston Celtics,/boxscores/201510300BOS.html,v/valanjo01,z/zellety01,home_center,,,Shooting foul by K. Lowry (drawn by M. Smart),l/lowryky01,0-0,Boston Celtics,,,0,0,0
2016,"Fri, Oct 30, 2015",Toronto Raptors,Boston Celtics,/boxscores/201510300BOS.html,v/valanjo01,z/zellety01,home_center,,,M. Smart misses free throw 1 of 2,s/smartma01,0-0,Boston Celtics,,,0,0,0
2016,"Fri, Oct 30, 2015",Toronto Raptors,Boston Celtics,/boxscores/201510300BOS.html,v/valanjo01,z/zellety01,home_center,,,Offensive rebound by Team,,0-0,Boston Celtics,,,1,0,0
2016,"Fri, Oct 30, 2015",Toronto Raptors,Boston Celtics,/boxscores/201510300BOS.html,v/valanjo01,z/zellety01,home_center,,,M. Smart makes free throw 2 of 2,s/smartma01,0-1,Boston Celtics,,,0,0,0
2016,"Fri, Oct 30, 2015",Washington Wizards,Milwaukee Bucks,/boxscores/201510300MIL.html,g/gortama01,m/monrogr01,away_center,M. Gortat makes 2-pt hook shot from 4 ft (assist by B. Beal),g/gortama01,,,2-0,Washington Wizards,2,4,0,0,0
2016,"Fri, Oct 30, 2015",Charlotte Hornets,Atlanta Hawks,/boxscores/201510300ATL.html,h/horfoal01,j/jeffeal01,away_center,N. Batum makes 2-pt layup from 1 ft,b/batumni01,,,2-0,Charlotte Hornets,2,1,0,0,0
2016,"Fri, Oct 30, 2015",Brooklyn Nets,San Antonio Spurs,/boxscores/201510300SAS.html,d/duncati01,l/lopezbr01,away_center,T. Young makes 3-pt jump shot from 24 ft (assist by J. Jack),y/youngth01,,,3-0,Brooklyn Nets,3,24,0,0,0
2016,"Fri, Oct 30, 2015",Minnesota Timberwolves,Denver Nuggets,/boxscores/201510300DEN.html,l/lauvejo01,t/townska01,home_center,,,G. Harris misses 2-pt jump shot from 13 ft,h/harriga01,0-0,Denver Nuggets,2,13,0,0,0
2016,"Fri, Oct 30, 2015",Minnesota Timberwolves,Denver Nuggets,/boxscores/201510300DEN.html,l/lauvejo01,t/townska01,home_center,Defensive rebound by T. Prince,p/princta01,,,0-0,Minnesota Timberwolves,,,0,1,0
2016,"Fri, Oct 30, 2015",Minnesota Timberwolves,Denver Nuggets,/boxscores/201510300DEN.html,l/lauvejo01,t/townska01,home_center,R. Rubio makes 2-pt layup from 1 ft,r/rubiori01,,,2-0,Minnesota Timberwolves,2,1,0,0,0
2016,"Fri, Oct 30, 2015",Golden State Warriors,Houston Rockets,/boxscores/201510300HOU.html,e/ezelife01,h/howardw01,away_center,K. Thompson misses 3-pt jump shot from 22 ft,t/thompkl01,,,0-0,Golden State Warriors,3,22,0,0,0
2016,"Fri, Oct 30, 2015",Golden State Warriors,Houston Rockets,/boxscores/201510300HOU.html,e/ezelife01,h/howardw01,away_center,,,Defensive rebound by J. Harden,h/hardeja01,0-0,Houston Rockets,,,0,1,0
2016,"Fri, Oct 30, 2015",Golden State Warriors,Houston Rockets,/boxscores/201510300HOU.html,e/ezelife01,h/howardw01,away_center,,,Turnover by D. Howard (lost ball; steal by D. Green),h/howardw01,0-0,Houston Rockets,,,0,0,1
2016,"Fri, Oct 30, 2015",Golden State Warriors,Houston Rockets,/boxscores/201510300HOU.html,e/ezelife01,h/howardw01,away_center,Shooting foul by T. Ariza (drawn by F. Ezeli),a/arizatr01,,,0-0,Golden State Warriors,,,0,0,0
2016,"Fri, Oct 30, 2015",Golden State Warriors,Houston Rockets,/boxscores/201510300HOU.html,e/ezelife01,h/howardw01,away_center,F. Ezeli misses free throw 1 of 2,e/ezelife01,,,0-0,Golden State Warriors,,,0,0,0
2016,"Fri, Oct 30, 2015",Golden State Warriors,Houston Rockets,/boxscores/201510300HOU.html,e/ezelife01,h/howardw01,away_center,Offensive rebound by Team,,,,0-0,Golden State Warriors,,,1,0,0
2016,"Fri, Oct 30, 2015",Golden State Warriors,Houston Rockets,/boxscores/201510300HOU.html,e/ezelife01,h/howardw01,away_center,F. Ezeli makes free throw 2 of 2,e/ezelife01,,,1-0,Golden State Warriors,,,0,0,0
2016,"Fri, Oct 30, 2015",Los Angeles Lakers,Sacramento Kings,/boxscores/201510300SAC.html,c/caulewi01,h/hibbero01,away_center,Turnover by R. Hibbert (bad pass),h/hibbero01,,,0-0,Los Angeles Lakers,,,0,0,1
2016,"Fri, Oct 30, 2015",Los Angeles Lakers,Sacramento Kings,/boxscores/201510300SAC.html,c/caulewi01,h/hibbero01,away_center,,,Personal foul by K. Bryant (drawn by B. McLemore),b/bryanko01,0-0,Sacramento Kings,,,0,0,0
2016,"Fri, Oct 30, 2015",Los Angeles Lakers,Sacramento Kings,/boxscores/201510300SAC.html,c/caulewi01,h/hibbero01,away_center,,,R. Gay makes 2-pt jump shot from 16 ft,g/gayru01,0-2,Sacramento Kings,2,16,0,0,0
2016,"Fri, Oct 30, 2015",Portland Trail Blazers,Phoenix Suns,/boxscores/201510300PHO.html,c/chandty01,p/plumlma01,home_center,,,Personal foul by M. Leonard (drawn by B. Knight),l/leoname01,0-0,Phoenix Suns,,,0,0,0
2016,"Fri, Oct 30, 2015",Portland Trail Blazers,Phoenix Suns,/boxscores/201510300PHO.html,c/chandty01,p/plumlma01,home_center,,,M. Morris misses 2-pt jump shot from 20 ft,m/morrima02,0-0,Phoenix Suns,2,20,0,0,0
2016,"Fri, Oct 30, 2015",Portland Trail Blazers,Phoenix Suns,/boxscores/201510300PHO.html,c/chandty01,p/plumlma01,home_center,Defensive rebound by A. Aminu,a/aminual01,,,0-0,Portland Trail Blazers,,,0,1,0
2016,"Fri, Oct 30, 2015",Portland Trail Blazers,Phoenix Suns,/boxscores/201510300PHO.html,c/chandty01,p/plumlma01,home_center,M. Leonard misses 3-pt jump shot from 24 ft,l/leoname01,,,0-0,Portland Trail Blazers,3,24,0,0,0
2016,"Fri, Oct 30, 2015",Portland Trail Blazers,Phoenix Suns,/boxscores/201510300PHO.html,c/chandty01,p/plumlma01,home_center,Offensive rebound by A. Aminu,a/aminual01,,,0-0,Portland Trail Blazers,,,1,0,0
2016,"Fri, Oct 30, 2015",Portland Trail Blazers,Phoenix Suns,/boxscores/201510300PHO.html,c/chandty01,p/plumlma01,home_center,D. Lillard makes 3-pt jump shot from 24 ft (assist by C. McCollum),l/lillada01,,,3-0,Portland Trail Blazers,3,24,0,0,0
2016,"Sat, Oct 31, 2015",Utah Jazz,Indiana Pacers,/boxscores/201510310IND.html,g/goberru01,m/mahinia01,away_center,D. Favors misses 2-pt hook shot from 4 ft,f/favorde01,,,0-0,Utah Jazz,2,4,0,0,0
2016,"Sat, Oct 31, 2015",Utah Jazz,Indiana Pacers,/boxscores/201510310IND.html,g/goberru01,m/mahinia01,away_center,,,Defensive rebound by I. Mahinmi,m/mahinia01,0-0,Indiana Pacers,,,0,1,0
2016,"Sat, Oct 31, 2015",Utah Jazz,Indiana Pacers,/boxscores/201510310IND.html,g/goberru01,m/mahinia01,away_center,,,G. Hill makes 3-pt jump shot from 24 ft (assist by P. George),h/hillge01,0-3,Indiana Pacers,3,24,0,0,0
2016,"Sat, Oct 31, 2015",New York Knicks,Washington Wizards,/boxscores/201510310WAS.html,g/gortama01,l/lopezro01,home_center,,,M. Gortat misses 2-pt jump shot from 13 ft,g/gortama01,0-0,Washington Wizards,2,13,0,0,0
2016,"Sat, Oct 31, 2015",New York Knicks,Washington Wizards,/boxscores/201510310WAS.html,g/gortama01,l/lopezro01,home_center,Defensive rebound by K. Porziņģis,p/porzikr01,,,0-0,New York Knicks,,,0,1,0
2016,"Sat, Oct 31, 2015",New York Knicks,Washington Wizards,/boxscores/201510310WAS.html,g/gortama01,l/lopezro01,home_center,Turnover by J. Calderón (bad pass; steal by O. Porter),c/caldejo01,,,0-0,New York Knicks,,,0,0,1
2016,"Sat, Oct 31, 2015",New York Knicks,Washington Wizards,/boxscores/201510310WAS.html,g/gortama01,l/lopezro01,home_center,,,O. Porter makes 2-pt layup from 1 ft (assist by K. Humphries),p/porteot01,0-2,Washington Wizards,2,1,0,0,0
