season,game_date,game_away_team,game_home_team,game_url,visiting_center,home_center,winning_tip,Visiting Team Event,Visiting Team Player,Home Team Event,Home Team Player,Score,Possession
2019,"Tue, Oct 16, 2018",Philadelphia 76ers,Boston Celtics,/boxscores/201810160BOS.html,e/embiijo01,h/horfoal01,away_center,R. Covington misses 3-pt jump shot from 27 ft,c/covinro01,,,0-0,Philadelphia 76ers
2019,"Tue, Oct 16, 2018",Philadelphia 76ers,Boston Celtics,/boxscores/201810160BOS.html,e/embiijo01,h/horfoal01,away_center,,,Defensive rebound by Team,,0-0,Boston Celtics
2019,"Tue, Oct 16, 2018",Philadelphia 76ers,Boston Celtics,/boxscores/201810160BOS.html,e/embiijo01,h/horfoal01,away_center,,,J. Tatum misses 3-pt jump shot from 25 ft,t/tatumja01,0-0,Boston Celtics
2019,"Tue, Oct 16, 2018",Philadelphia 76ers,Boston Celtics,/boxscores/201810160BOS.html,e/embiijo01,h/horfoal01,away_center,Defensive rebound by D. Šarić,s/saricda01,,,0-0,Philadelphia 76ers
2019,"Tue, Oct 16, 2018",Philadelphia 76ers,Boston Celtics,/boxscores/201810160BOS.html,e/embiijo01,h/horfoal01,away_center,Turnover by B. Simmons (bad pass; steal by G. Hayward),s/simmobe01,,,0-0,Philadelphia 76ers
2019,"Tue, Oct 16, 2018",Philadelphia 76ers,Boston Celtics,/boxscores/201810160BOS.html,e/embiijo01,h/horfoal01,away_center,,,J. Brown misses 2-pt layup from 2 ft,b/brownja02,0-0,Boston Celtics
2019,"Tue, Oct 16, 2018",Philadelphia 76ers,Boston Celtics,/boxscores/201810160BOS.html,e/embiijo01,h/horfoal01,away_center,Defensive rebound by B. Simmons,s/simmobe01,,,0-0,Philadelphia 76ers
2019,"Tue, Oct 16, 2018",Philadelphia 76ers,Boston Celtics,/boxscores/201810160BOS.html,e/embiijo01,h/horfoal01,away_center,J. Embiid makes 2-pt layup from 1 ft (assist by B. Simmons),e/embiijo01,,,2-0,Philadelphia 76ers
2019,"Tue, Oct 16, 2018",Oklahoma City Thunder,Golden State Warriors,/boxscores/201810160GSW.html,a/adamsst01,j/jonesda03,home_center,,,Turnover by K. Thompson (bad pass; steal by S. Adams),t/thompkl01,0-0,Golden State Warriors
2019,"Tue, Oct 16, 2018",Oklahoma City Thunder,Golden State Warriors,/boxscores/201810160GSW.html,a/adamsst01,j/jonesda03,home_center,Turnover by P. George (bad pass),g/georgpa01,,,0-0,Oklahoma City Thunder
