season,game_date,game_away_team,game_home_team,game_url,visiting_center,home_center,winning_tip,Visiting Team Event,Visiting Team Player,Home Team Event,Home Team Player,Score,Possession
2018,"Tue, Oct 17, 2017",Boston Celtics,Cleveland Cavaliers,/boxscores/201710170CLE.html,l/loveke01,h/horfoal01,away_center,K. Irving makes 2-pt jump shot from 10 ft (assist by A. Horford),i/irvinky01,,,2-0,Boston Celtics
2018,"Tue, Oct 17, 2017",Houston Rockets,Golden State Warriors,/boxscores/201710170GSW.html,p/pachuza01,c/capelca01,away_center,J. Harden makes 2-pt layup from 1 ft,h/hardeja01,,,2-0,Houston Rockets
2018,"Wed, Oct 18, 2017",Charlotte Hornets,Detroit Pistons,/boxscores/201710180DET.html,d/drumman01,h/howardw01,away_center,K. Walker misses 2-pt jump shot from 16 ft,w/walkeke02,,,0-0,Charlotte Hornets
2018,"Wed, Oct 18, 2017",Charlotte Hornets,Detroit Pistons,/boxscores/201710180DET.html,d/drumman01,h/howardw01,away_center,,,Defensive rebound by T. Harris,h/harrito02,0-0,Detroit Pistons
2018,"Wed, Oct 18, 2017",Charlotte Hornets,Detroit Pistons,/boxscores/201710180DET.html,d/drumman01,h/howardw01,away_center,,,T. Harris misses 3-pt jump shot from 27 ft,h/harrito02,0-0,Detroit Pistons
2018,"Wed, Oct 18, 2017",Charlotte Hornets,Detroit Pistons,/boxscores/201710180DET.html,d/drumman01,h/howardw01,away_center,Defensive rebound by D. Howard,h/howardw01,,,0-0,Charlotte Hornets
2018,"Wed, Oct 18, 2017",Charlotte Hornets,Detroit Pistons,/boxscores/201710180DET.html,d/drumman01,h/howardw01,away_center,D. Howard misses 2-pt hook shot from 5 ft,h/howardw01,,,0-0,Charlotte Hornets
2018,"Wed, Oct 18, 2017",Charlotte Hornets,Detroit Pistons,/boxscores/201710180DET.html,d/drumman01,h/howardw01,away_center,,,Defensive rebound by T. Harris,h/harrito02,0-0,Detroit Pistons
2018,"Wed, Oct 18, 2017",Charlotte Hornets,Detroit Pistons,/boxscores/201710180DET.html,d/drumman01,h/howardw01,away_center,,,A. Bradley makes 2-pt layup from 1 ft,b/bradlav01,0-2,Detroit Pistons
2018,"Wed, Oct 18, 2017",Brooklyn Nets,Indiana Pacers,/boxscores/201710180IND.html,t/turnemy01,m/mozgoti01,home_center,,,D. Collison makes 2-pt layup from 1 ft,c/collida01,0-2,Indiana Pacers
2018,"Wed, Oct 18, 2017",Miami Heat,Orlando Magic,/boxscores/201710180ORL.html,v/vucevni01,w/whiteha01,away_center,K. Olynyk misses 3-pt jump shot from 22 ft,o/olynyke01,,,0-0,Miami Heat
2018,"Wed, Oct 18, 2017",Miami Heat,Orlando Magic,/boxscores/201710180ORL.html,v/vucevni01,w/whiteha01,away_center,,,Defensive rebound by T. Ross,r/rosste01,0-0,Orlando Magic
2018,"Wed, Oct 18, 2017",Miami Heat,Orlando Magic,/boxscores/201710180ORL.html,v/vucevni01,w/whiteha01,away_center,,,T. Ross misses 3-pt jump shot from 27 ft,r/rosste01,0-0,Orlando Magic
